CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,E1_Income support,E3_Fiscal measures,H6_Facial Coverings,ConfirmedCases,ConfirmedDeaths
Brazil,20200101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,20200222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
