CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,H6_Facial Coverings
United States,20200707,2.0,1.0,1.0,3.0
United States,20200708,2.0,1.0,1.0,3.0
United States,20200709,2.0,1.0,1.0,3.0
United States,20200710,2.0,2.0,1.0,3.0
United States,20200711,2.0,2.0,1.0,3.0
United States,20200712,2.0,2.0,1.0,3.0
United States,20200713,2.0,2.0,1.0,3.0
United States,20200714,2.0,2.0,1.0,3.0
United States,20200715,2.0,2.0,1.0,3.0
United States,20200716,2.0,2.0,1.0,3.0
United States,20200717,2.0,2.0,1.0,3.0
United States,20200718,2.0,2.0,1.0,3.0
United States,20200719,2.0,2.0,1.0,3.0
United States,20200720,2.0,2.0,1.0,3.0
United States,20200721,2.0,2.0,1.0,3.0
United States,20200722,2.0,2.0,1.0,3.0
United States,20200723,2.0,2.0,1.0,3.0
United States,20200724,2.0,2.0,1.0,3.0
United States,20200725,2.0,2.0,1.0,3.0
United States,20200726,2.0,2.0,1.0,3.0
United States,20200727,2.0,2.0,1.0,3.0
United States,20200728,2.0,2.0,1.0,3.0
United States,20200729,2.0,2.0,1.0,3.0
United States,20200730,2.0,2.0,1.0,3.0
United States,20200731,2.0,2.0,1.0,3.0
United States,20200801,2.0,2.0,1.0,3.0
United States,20200802,2.0,2.0,1.0,3.0
United States,20200803,2.0,2.0,1.0,3.0
United States,20200804,2.0,2.0,1.0,3.0
United States,20200805,2.0,2.0,1.0,3.0
United States,20200806,2.0,2.0,1.0,3.0
United States,20200807,2.0,2.0,1.0,3.0
United States,20200808,2.0,2.0,1.0,3.0
United States,20200809,2.0,2.0,1.0,3.0
United States,20200810,2.0,2.0,1.0,3.0
United States,20200811,2.0,2.0,1.0,3.0
United States,20200812,2.0,2.0,1.0,3.0
United States,20200813,2.0,2.0,1.0,3.0
United States,20200814,2.0,2.0,1.0,3.0
United States,20200815,2.0,2.0,1.0,3.0
United States,20200816,2.0,2.0,1.0,3.0
United States,20200817,2.0,2.0,1.0,3.0
United States,20200818,2.0,2.0,1.0,3.0
United States,20200819,2.0,2.0,1.0,3.0
United States,20200820,2.0,2.0,1.0,3.0
United States,20200821,2.0,2.0,1.0,3.0
United States,20200822,2.0,2.0,1.0,3.0
United States,20200823,2.0,2.0,1.0,3.0
United States,20200824,2.0,2.0,1.0,3.0
United States,20200825,2.0,2.0,1.0,3.0
United States,20200826,2.0,2.0,1.0,3.0
United States,20200827,2.0,2.0,1.0,3.0
United States,20200828,2.0,2.0,1.0,3.0
United States,20200829,2.0,2.0,1.0,3.0
United States,20200830,2.0,2.0,1.0,3.0
United States,20200831,2.0,2.0,1.0,3.0
United States,20200901,2.0,2.0,1.0,3.0
United States,20200902,2.0,2.0,1.0,3.0
United States,20200903,2.0,2.0,1.0,3.0
United States,20200904,2.0,2.0,1.0,3.0
United States,20200905,2.0,2.0,1.0,3.0
